,Blue,Green,Pan,Red,RedEdge,NIR,NDVI,NDWI,EVI,SAVI,GNDVI,VARI,NDRE,CIgreen,CIRE,ARI,RENDVI,DQO,Fosfatos,Turbidez,Nitratos,Sulfatos,ficocianin,Chl,CE,pH
CIgreen,-0.6858198263539109,-0.667682051637544,-0.4730796283099918,-0.6562345092224571,-0.4015553765797261,0.37586560372013117,0.9033736630427907,0.37629910595653754,-0.0684505134407964,0.9033006737052165,-0.1231295952450589,0.406156051319385,-0.5003394582726803,1.0,0.9394838343986253,0.8416311722777629,-0.5003394582726803,0.1753842691477053,0.18127269467948645,0.23755314055691226,0.17762076200112936,0.18874627565254548,0.009261494644129044,0.08066307292125134,0.17088052253274683,0.1537272894981839
CIRE,-0.7475259304568203,-0.7748282925108156,-0.6418624205116531,-0.7423369999788997,-0.6089358060860316,0.1357527378378119,0.8337671494086444,0.6030157419373118,-0.11212093886416649,0.8335910186896828,-0.11111060458709557,0.4939363960202322,-0.48414391480250263,0.9394838343986253,1.0,0.7993507399588186,-0.48414391480250263,0.17167924437593823,0.14038374140768609,0.24616630739122788,0.1681675716263282,0.19878391810758259,-0.000707927670664887,0.07777396513544724,0.14618596376129891,0.15383060267440246
ARI,-0.7410166273045191,-0.7733556990115167,-0.6605080997244231,-0.7372451151370424,-0.6183378948116737,-0.0405241969239913,0.6763861736978164,0.5321753159238836,0.006568799020893337,0.6762230851853573,-0.10521001661370867,0.41714562488353113,-0.2995972997764656,0.8416311722777629,0.7993507399588186,1.0,-0.2995972997764656,0.1544078221127296,0.07350522432279213,0.22959289829672616,0.14658000328167228,0.18988439279291372,0.05280233783307382,0.1237089446803356,0.12644205310410847,0.12682477113766366
RENDVI,0.3544409052990807,0.3256399716313555,0.21960478823565804,0.32776303930570466,0.14190413984634487,-0.37988061784498106,-0.7002017629807985,-0.027883410952140034,0.1315441394604386,-0.7002563747683792,0.4424591944798043,-0.15138897233763707,1.0,-0.5003394582726803,-0.48414391480250263,-0.2995972997764656,1.0,-0.21094053304556,-0.21515498871792646,-0.23028441335806038,-0.18469365761363027,-0.08432960695051997,-0.09953196922729234,-0.15242101562335816,-0.22126826355150858,-0.21290687831816216
DQO,-0.2051699653716124,-0.1806248134284167,-0.13975422056858883,-0.1682629157887798,-0.10772336363380494,0.06332460826924903,0.2330307889479389,0.05777760013592613,-0.08232942723137023,0.2330263506214215,-0.03708606438442232,0.014232739378720749,-0.21094053304556,0.1753842691477053,0.17167924437593823,0.1544078221127296,-0.21094053304556,1.0,0.8330931515845234,0.8752186743276537,0.27109820035522375,0.7699251019476672,-0.040745919323666786,0.3750456805845008,0.8565060816600992,0.8612613286247807
Fosfatos,-0.08822050261407526,-0.03151568176746209,0.03127260207149293,-0.052514620115553884,0.07089358395913031,0.24516543965325388,0.25009821867156734,-0.09015898008430624,-0.01775201507336322,0.25015626053999707,-0.007312408304935152,0.013487204044238662,-0.21515498871792646,0.18127269467948645,0.14038374140768609,0.07350522432279213,-0.21515498871792646,0.8330931515845234,1.0,0.721212259482603,0.27444725394093245,0.6187437523639101,-0.12131231420826723,0.22581760746539806,0.9225964921875124,0.8566155743628856
Turbidez,-0.2878127821073801,-0.2829251645690327,-0.24798892983800316,-0.25898908751681304,-0.21334671338850947,0.014109498419556814,0.27217034545672397,0.14346196076668366,-0.13154595459963409,0.2721354883494557,-0.057875664570691536,0.05909192706147397,-0.23028441335806038,0.23755314055691226,0.24616630739122788,0.22959289829672616,-0.23028441335806038,0.8752186743276537,0.721212259482603,1.0,0.28982727570076905,0.7333783196716809,-0.0341761184510445,0.5119919295169562,0.7399559573562339,0.7584826423955846
Nitratos,-0.09368626763955817,-0.14203070847055457,-0.05872286620285458,-0.07789968218628134,-0.0859852827406861,0.062429614652778465,0.12250077357077371,0.10860255058904769,0.047780666196343934,0.12247649536420334,-0.17611761192179004,-0.10461847870951363,-0.18469365761363027,0.17762076200112936,0.1681675716263282,0.14658000328167228,-0.18469365761363027,0.27109820035522375,0.27444725394093245,0.28982727570076905,1.0,0.3193127632948568,-0.12596575821823602,0.2496698481273284,0.21406640063134721,0.17718398156312112
Sulfatos,-0.2752309176802052,-0.22396004623183058,-0.200976324373105,-0.2393020559542899,-0.17449949154949204,-0.006395201087013246,0.21734382985771392,0.14512277161535242,-0.09513513018396176,0.21730269072720249,-0.040230278512580424,0.14688947261470653,-0.08432960695051997,0.18874627565254548,0.19878391810758259,0.18988439279291372,-0.08432960695051997,0.7699251019476672,0.6187437523639101,0.7333783196716809,0.3193127632948568,1.0,0.01558172122651757,0.46209093425860365,0.6349757226031267,0.6409986076362524
ficocianin,-0.0640409128434394,-0.06077521749663727,-0.048366606621532277,-0.07095437780161723,-0.04229149169529388,-0.03833504942924003,0.04376272071716684,0.034243379941511956,-0.010808475211071235,0.04374797998086816,-0.015044393146270289,0.08001034230222105,-0.09953196922729234,0.009261494644129044,-0.000707927670664887,0.05280233783307382,-0.09953196922729234,-0.040745919323666786,-0.12131231420826723,-0.0341761184510445,-0.12596575821823602,0.01558172122651757,1.0,-0.08297047796744145,-0.09604116669502404,-0.053243994243810586
Chl,-0.1986661571745909,-0.18080737561825602,-0.19006793654103118,-0.16860093515312347,-0.14705373985671036,-0.045521206369803044,0.12274643551020052,0.07619164335937381,-0.16556091968708142,0.12273471950893568,-0.2143706037758794,-0.009128890877236664,-0.15242101562335816,0.08066307292125134,0.07777396513544724,0.1237089446803356,-0.15242101562335816,0.3750456805845008,0.22581760746539806,0.5119919295169562,0.2496698481273284,0.46209093425860365,-0.08297047796744145,1.0,0.22953520701333474,0.27250898553688463
CE,-0.15089540110465155,-0.0980989052906594,-0.05646779708761725,-0.11804428481641718,-0.013009470245594791,0.13521559424822854,0.23777634683322268,-0.015852875188448034,-0.01267965975323123,0.23779802135532618,0.03615675049268321,0.06040252483556254,-0.22126826355150858,0.17088052253274683,0.14618596376129891,0.12644205310410847,-0.22126826355150858,0.8565060816600992,0.9225964921875124,0.7399559573562339,0.21406640063134721,0.6349757226031267,-0.09604116669502404,0.22953520701333474,1.0,0.9737818188901545
