,Blue,Green,Pan,Red,RedEdge,NIR,NDVI,NDWI,EVI,SAVI,GNDVI,VARI,NDRE,CIgreen,CIRE,ARI,RENDVI,ln_DQO,ln_Fosfatos,ln_Turbidez,ln_Nitratos,ln_Sulfatos,ln_ficocianin,ln_Chl,ln_CE,pH
GNDVI,0.27605781679638053,0.2722960214923854,0.22554833128066373,0.24611510700511222,0.170369790284219,-0.056343873605637695,-0.2679705092187709,-0.1291693481179441,-0.029209184972659435,-0.2679843762087439,1.0,0.0248253088678507,0.4424591944798043,-0.1231295952450589,-0.11111060458709557,-0.10521001661370867,0.4424591944798043,0.02286462416919452,-0.09891045383493793,0.024328778102533106,0.19540405399314426,-0.020852568833958807,0.06321643272221954,-0.3094785204165963,0.040972744559832415,0.05252312759797543
VARI,-0.6944863929271496,-0.5839810875369695,-0.6484421937248372,-0.745780140135481,-0.5576749102072622,-0.18735126263150803,0.5051602428400156,0.5323306970261843,-0.1615015116733453,0.5049721992409016,0.0248253088678507,1.0,-0.15138897233763707,0.406156051319385,0.4939363960202322,0.41714562488353113,-0.15138897233763707,0.04947296163446932,-0.10918999854058282,0.07916149221674446,-0.0016258100541559073,0.1483554914429007,0.01168467339245124,0.07779631826218897,0.054647376318278804,0.03518706315655151
NDRE,0.3544409052990807,0.3256399716313555,0.21960478823565804,0.32776303930570466,0.14190413984634487,-0.37988061784498106,-0.7002017629807985,-0.027883410952140034,0.1315441394604386,-0.7002563747683792,0.4424591944798043,-0.15138897233763707,1.0,-0.5003394582726803,-0.48414391480250263,-0.2995972997764656,1.0,-0.22533193750284394,0.15085459107321292,-0.18383225345512524,0.1348356949287144,-0.07740188099650848,0.1370740914291547,-0.21642273542811172,-0.22401514598016198,-0.21290687831816216
CIgreen,-0.6858198263539109,-0.667682051637544,-0.4730796283099918,-0.6562345092224571,-0.4015553765797261,0.37586560372013117,0.9033736630427907,0.37629910595653754,-0.0684505134407964,0.9033006737052165,-0.1231295952450589,0.406156051319385,-0.5003394582726803,1.0,0.9394838343986253,0.8416311722777629,-0.5003394582726803,0.17495238024237994,-0.08734560900463974,0.18224877604422665,-0.2495826097024701,0.18314570806960465,-0.14344679427402765,0.1781728995319706,0.16889711834668056,0.1537272894981839
CIRE,-0.7475259304568203,-0.7748282925108156,-0.6418624205116531,-0.7423369999788997,-0.6089358060860316,0.1357527378378119,0.8337671494086444,0.6030157419373118,-0.11212093886416649,0.8335910186896828,-0.11111060458709557,0.4939363960202322,-0.48414391480250263,0.9394838343986253,1.0,0.7993507399588186,-0.48414391480250263,0.16103787836364958,-0.11111843049101033,0.17271895010229488,-0.28744605176680366,0.18990152535344781,-0.12923397799185407,0.17578941112960766,0.14990432346726773,0.15383060267440246
ARI,-0.7410166273045191,-0.7733556990115167,-0.6605080997244231,-0.7372451151370424,-0.6183378948116737,-0.0405241969239913,0.6763861736978164,0.5321753159238836,0.006568799020893337,0.6762230851853573,-0.10521001661370867,0.41714562488353113,-0.2995972997764656,0.8416311722777629,0.7993507399588186,1.0,-0.2995972997764656,0.13736013960527316,-0.1661070307285312,0.16190728367571683,-0.2680508070630589,0.17595350732717027,-0.07019237576189791,0.2166216438591796,0.12559499793351542,0.12682477113766366
RENDVI,0.3544409052990807,0.3256399716313555,0.21960478823565804,0.32776303930570466,0.14190413984634487,-0.37988061784498106,-0.7002017629807985,-0.027883410952140034,0.1315441394604386,-0.7002563747683792,0.4424591944798043,-0.15138897233763707,1.0,-0.5003394582726803,-0.48414391480250263,-0.2995972997764656,1.0,-0.22533193750284394,0.15085459107321292,-0.18383225345512524,0.1348356949287144,-0.07740188099650848,0.1370740914291547,-0.21642273542811172,-0.22401514598016198,-0.21290687831816216
ln_DQO,-0.16800052978088048,-0.12549911391885896,-0.08560891204628586,-0.1344256571587912,-0.04713423931319836,0.10843001158976744,0.23762503028174076,0.014614274063060725,-0.03642487279847315,0.2376345536246942,0.02286462416919452,0.04947296163446932,-0.22533193750284394,0.17495238024237994,0.16103787836364958,0.13736013960527316,-0.22533193750284394,1.0,-0.7501746128466985,0.8896914000916298,-0.2640923544080866,0.6995902348424831,-0.0040715544697183656,0.43359852761530165,0.9925271652265831,0.9823656937310401
ln_Fosfatos,0.19882868086126315,0.18362196920880156,0.1960887216871737,0.18539268399263928,0.16937644319819892,0.1191607980126031,-0.11963035463065093,-0.14038969145600588,0.01509376109004987,-0.11957104843777455,-0.09891045383493793,-0.10918999854058282,0.15085459107321292,-0.08734560900463974,-0.11111843049101033,-0.1661070307285312,0.15085459107321292,-0.7501746128466985,1.0,-0.6302587532053799,0.06595353710434972,-0.4448886013314404,-0.11950343822887664,-0.22955567242783295,-0.7690311292648419,-0.8208687808195748
ln_Turbidez,-0.20492197840728463,-0.17877691641825882,-0.14672573155243893,-0.18296185635816595,-0.10912430715241744,0.05749866315495199,0.22382499486365778,0.06432466817179355,-0.04572495063263141,0.22381466452934295,0.024328778102533106,0.07916149221674446,-0.18383225345512524,0.18224877604422665,0.17271895010229488,0.16190728367571683,-0.18383225345512524,0.8896914000916298,-0.6302587532053799,1.0,-0.3054159776546599,0.6479180920691973,0.006912747393296409,0.5014943859047253,0.8779327506876734,0.8772018647372765
