B2,B8,B5,B6,NDVI,EVI,NDMI,TEX_B2_contrast,TEX_B2_ent,TEX_B2_asm,TEX_B2_corr,TEX_B2_var,TEX_B3_contrast,TEX_B3_ent,TEX_B3_corr,TEX_B4_asm,TEX_B4_corr,TEX_B8_contrast,TEX_B8_ent,TEX_B8_corr,TEX_B8_var,TEX_B8_sent,Clase_N1
0.9999618676897765,0.9999660882920057,0.9999752783095363,0.9999772985516013,0.9999674978457178,0.9999503676885464,0.9999574477966686,0.9581644411264194,0.9999010828735294,0.9999079162883704,0.9999829290247099,0.9582193895859167,0.9497657783018388,0.9999295378183364,0.9999886434199211,0.9999770442311795,0.999988155239448,0.9458027837912748,0.9999589532229582,0.9999691091830682,0.9024954902911992,0.9999313118112706,2.0
0.999960607613431,0.9999608380271838,0.9999729181481776,0.9999738483311567,0.9999843789619507,0.9999471657505976,0.9999599457690722,0.9580654058563227,0.9996907362900863,0.9999586276491125,0.999961123483713,0.9579721276348411,0.949717926320452,0.9998278137838197,0.9999708671789546,0.9999800196581653,0.9999711095809615,0.9471092048775699,0.9999680931287088,0.999975851134363,0.904340987197246,0.9999479774625625,2.0
0.9999610576407131,0.9999663983069176,0.9999763483828856,0.999978948656513,0.9999776298628866,0.9999532142519942,0.9999548528985506,0.9581743256528068,0.9998947791656049,0.9999080566343586,0.9999766006140741,0.9581640753188183,0.9498918136596746,0.9999335376471095,0.9999820948918222,0.9999764519016586,0.9999807967133882,0.9473263950710484,0.9999699558882342,0.9999580544717591,0.9035765150546002,0.9999401060011653,2.0
0.9999610576407131,0.9999663983069176,0.9999763483828856,0.999978948656513,0.9999776298628866,0.9999532142519942,0.9999548528985506,0.9581743256528068,0.9998947791656049,0.9999080566343586,0.9999766006140741,0.9581640753188183,0.9498918136596746,0.9999335376471095,0.9999820948918222,0.9999764519016586,0.9999807967133882,0.9473263950710484,0.9999699558882342,0.9999580544717591,0.9035765150546002,0.9999401060011653,2.0
0.9999617676836997,0.9999660082881094,0.9999757383413064,0.9999764784988041,0.9999690178026707,0.9999507151592465,0.9999569214531531,0.9580522898650895,0.9998193163086294,0.9999145426674078,0.9999667121707034,0.9579629048827989,0.9497289473512263,0.9998857123545973,0.9999704043180088,0.99997930252421,0.999957660614066,0.9468464583320665,0.9999717768908287,0.999992994187184,0.9061596209475802,0.9999611897466764,2.0
0.9999628277479085,0.9999689284340498,0.9999773184491988,0.9999802487391256,0.9999607310081403,0.999951203519967,0.9999562895938225,0.9597805598431196,0.9999623161320413,0.9999059725059151,0.9999734102360333,0.9602585260358908,0.951615238561255,0.999961915145343,0.9999724409979631,0.9999762349701078,0.9999780923601843,0.9527290562588117,0.9999881077118822,0.99996969700629,0.910056443996854,0.9999737616364281,2.0
0.9999606476158578,0.9999615580629956,0.999972148095564,0.9999740083410951,0.9999822727161325,0.9999478081341058,0.9999657130684952,0.9585318791041636,0.9996448136342564,0.9999738358066307,0.9999552100308414,0.9583331524030212,0.9504838406346495,0.9998584530237379,0.9999569405088554,0.9999799857994703,0.9999513730192423,0.9483711944589257,0.9999575756970832,0.9999298065645241,0.903445787277511,0.9999295965688285,2.0
0.9999621677079137,0.9999664983121606,0.9999767384094324,0.9999774285591174,0.999964756708938,0.9999500920807424,0.9999527852287525,0.9580456368263892,0.9997714182339743,0.9999217755062046,0.9999491885968608,0.9579220224566803,0.949777176118442,0.9998866496941793,0.9999630295616039,0.9999797499699825,0.999962512194233,0.9487845773398421,0.9999602202312029,0.9999859482718152,0.9084038710774669,0.9999320073614951,2.0
0.9999624077226097,0.9999675183644462,0.9999779384916307,0.999979068664712,0.9999616933344176,0.9999500249267473,0.9999534415166951,0.9579904165777673,0.999763397722869,0.9999205602240978,0.9999672228696115,0.9578936515254509,0.9495426260456898,0.999857977942628,0.9999796150088327,0.9999817488117562,0.9999742853000756,0.9469332594376741,0.9999742178599105,0.999979844265985,0.9044392747434415,0.9999549560139511,2.0
0.9999629677565277,0.9999705485163027,0.9999791585747891,0.9999810187878857,0.9999618410421135,0.9999530883306165,0.9999551000796105,0.9581128325378193,0.999870430457679,0.9999094181678055,0.9999686524331586,0.9580356143241108,0.9495773846742429,0.9998793337120275,0.9999842698149309,0.9999774019122174,0.9999832183519517,0.9479162858604585,0.9999795109799069,0.9999718381302761,0.9049289197632785,0.999963667327038,2.0
0.99996287775104,0.9999685384152416,0.9999792385801201,0.9999816488283222,0.9999600652833983,0.9999506748564184,0.9999466095694547,0.9581203409756935,0.9998715602081727,0.9999092209353065,0.999978542712375,0.9581035402235526,0.9496099767729602,0.999894695494154,0.9999912199294694,0.9999766830067552,0.9999877886420486,0.9475392731254226,0.9999770726802181,0.9999799263129197,0.905249951238799,0.9999611897466764,2.0
0.9999628477492729,0.9999717185757077,0.9999791685756418,0.9999827589000643,0.9999679871986137,0.999956910795918,0.9999568968509333,0.9580505790781623,0.999820793247483,0.9999136468539674,0.9999640357102613,0.9579525500259616,0.9495855797999806,0.9998268354975991,0.9999509449980785,0.9999798889481489,0.999969130292372,0.9456619899354444,0.9999558996520534,0.9999672545408707,0.902312190735483,0.9999190979102383,2.0
0.9999625277298645,0.9999651382444333,0.999976388385551,0.9999770485358862,0.9999609077554993,0.9999478678298572,0.9999500936345965,0.9583968223568762,0.9998855129759369,0.9999091122804801,0.9999783647068639,0.9585218929477836,0.9502102931267249,0.9999135220340198,0.9999917050530885,0.9999780532977447,0.9999866533965251,0.9506132108708374,0.9999728039873919,0.9999922533149873,0.9144384978629728,0.999969340967951,2.0
0.9999627777449632,0.9999654482593452,0.9999771084350191,0.9999771885442098,0.999959925276697,0.9999480512847664,0.9999492063091302,0.9580386036039334,0.999784454540778,0.9999227402124383,0.9999532814450806,0.9579224772604658,0.9495272719665632,0.9998339359498017,0.9999716824457997,0.9999805267506328,0.999970625179338,0.9453017562820744,0.9999450970959051,0.9999923100534378,0.9025549090537095,0.9999303039415715,2.0
0.99996098763645,0.9999659082828666,0.9999746182644389,0.9999797687093103,0.9999868068613781,0.9999555822540042,0.9999704916867079,0.9580467773433936,0.9997763533519356,0.9999206145509522,0.9999510494858097,0.9579286676256551,0.9496933409545579,0.9998955313489939,0.9999681749154263,0.999978581256366,0.9999782189621739,0.9480544548928685,0.9999611374298162,0.9999391199048977,0.9034753634004568,0.9999337696079824,2.0
